source_protocol,source_file,source_line,legacy_entry_type,legacy_wire_name,legacy_command_id,legacy_command_name,legacy_class,legacy_method,legacy_event,legacy_config_name,legacy_status,legacy_payload_summary,target_domain,target_feature,target_capability,target_rpc_kind,target_axtp_method,target_axtp_event,target_protocol_doc,target_match_basis,confidence,rationale,open_questions
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,51,command,BetaUpgradeInfoEx,0xB0011 / 0x0011 -> 0x0091,BetaUpgradeInfoEx,,BetaUpgradeInfoEx,,,已发送/已解析,"input=BlockInfo/兼容块信息, Ex 批量发送策略; output=读取 uint32 BE result(4B)；0 后本端循环发送所有 Ex 数据片，结束后 Verifying。",firmware,ota,firmware.ota,stream_owner_method,firmware.beginOta,,,Naming and Taxonomy spec candidate; docs/protocol document not created yet,high,升级/远程升级/升级进度归 firmware.ota，数据块通过业务域建流。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,52,command,BetaUpgradeDataEx,0xB0012 / 0x0012 -> 0x0092,BetaUpgradeDataEx,,BetaUpgradeDataEx,,,已发送/已解析,"input=SliceData, Ex 批量发送策略; output=读取 uint32 BE upgrade_status(4B)：0xFFFFFFFF Success，0xFFFFEEEE Failed。",firmware,ota,firmware.ota,stream_owner_method,firmware.commitOtaBatch,,,Naming and Taxonomy spec candidate; docs/protocol document not created yet,high,升级/远程升级/升级进度归 firmware.ota，数据块通过业务域建流。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,53,command,CommonSetVideoMode,0xC0021 / 0x0021 -> 0x00A1,CommonSetVideoMode,,CommonSetVideoMode,,,已发送/case空,"input=uint32 BE VideoMode(0 全景,1 智能跟踪); output=case 空，未读取 payload；无 callback。",video,framing,video.framing,method,video.setFramingMode,,docs/protocol/video/video.framing.md,matched docs/protocol (docs/protocol/video/video.framing.md),medium,追踪、构图、人数、帧率和智能画面状态归 video.framing。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,54,command,CommonGetVideoMode,0xC0022 / 0x0022 -> 0x00A2,CommonGetVideoMode,,CommonGetVideoMode,,,已发送/已解析,"input=无 payload; output=读取 result(1/2/4B: len=4 读 BE uint32, len=2 读 BE uint16, len=1 读 uint8) -> onGetVideoMode(VideoMode(result))。",video,framing,video.framing,method,video.getFramingMode,,docs/protocol/video/video.framing.md,matched docs/protocol (docs/protocol/video/video.framing.md),medium,追踪、构图、人数、帧率和智能画面状态归 video.framing。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,55,command,CommonGetPeopleNumber,0xC0023 / 0x0023 -> 0x00A3,CommonGetPeopleNumber,,CommonGetPeopleNumber,,,仅响应/解析未回调,"input=源码未找到发送封装; 通常无 payload; output=读取 result(1/2/4B: len=4 读 BE uint32, len=2 读 BE uint16, len=1 读 uint8)，但 onGetPeopleCount 注释掉。",video,framing,video.framing,method,video.getFramingConfig,,docs/protocol/video/video.framing.md,matched docs/protocol (docs/protocol/video/video.framing.md),medium,追踪、构图、人数、帧率和智能画面状态归 video.framing。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,56,command,CommonSetMicUsed,0xC0024 / 0x0024 -> 0x00A4,CommonSetMicUsed,,CommonSetMicUsed,,,已发送/case空,input=uint32 BE mic_index/mask; output=case 空，未读取 payload；无 callback。,audio,input,audio.input,method,audio.setInputConfig,,docs/protocol/audio/audio.input.md,matched docs/protocol (docs/protocol/audio/audio.input.md),high,音频输入、Line-in、Mic、音源选择归 audio.input。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,57,command,CommonAudioRecord,0xC0025 / 0x0025 -> 0x00A5,CommonAudioRecord,,CommonAudioRecord,,,已发送/case空,"input=uint32 BE mic_mask, 工厂录音; output=case 空，未读取 payload；无 callback。",audio,recording,audio.recording,stream_owner_method,audio.startRecording,,docs/protocol/audio/audio.recording.md,matched docs/protocol (docs/protocol/audio/audio.recording.md),high,音频录制与音频数据上报归 audio.recording。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,58,command,CommonSetTestResult,0xC0026 / 0x0026 -> 0x00A6,CommonSetTestResult,,CommonSetTestResult,,,已发送/case空,input=uint32 BE test_index + uint32 BE test_result; output=case 空，未读取 payload；无 callback。,diagnostic,selfTest,diagnostic.selfTest,method,diagnostic.runSelfTest,,docs/protocol/diagnostic/diagnostic.selfTest.md,capability has docs/protocol draft (docs/protocol/diagnostic/diagnostic.selfTest.md); method/event is taxonomy/spec candidate,medium,未细分产测默认归 diagnostic.selfTest。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,59,command,CommonGetTestResult,0xC0027 / 0x0027 -> 0x00A7,CommonGetTestResult,,CommonGetTestResult,,,已发送/case空,input=源码发送无 payload; API 入参 test_index 未写入 payload; output=case 空，未读取 payload；无 callback。,diagnostic,selfTest,diagnostic.selfTest,method,diagnostic.runSelfTest,,docs/protocol/diagnostic/diagnostic.selfTest.md,capability has docs/protocol draft (docs/protocol/diagnostic/diagnostic.selfTest.md); method/event is taxonomy/spec candidate,medium,未细分产测默认归 diagnostic.selfTest。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,60,command,CommonSetEncryptedInfo,0xC0028 / 0x0028 -> 0x00A8,CommonSetEncryptedInfo,,CommonSetEncryptedInfo,,,已发送/case空,input=uint32 BE flash_block + hwid/sn bytes; output=case 空，未读取 payload；无 callback。,diagnostic,manufacturing,diagnostic.manufacturing,method,diagnostic.setManufacturingData,,docs/protocol/diagnostic/diagnostic.manufacturing.md,capability has docs/protocol draft (docs/protocol/diagnostic/diagnostic.manufacturing.md); method/event is taxonomy/spec candidate,high,SN/MAC/HWID/加密信息写入归 diagnostic.manufacturing。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,61,command,CommonGetEncryptedInfo,0xC0029 / 0x0029 -> 0x00A9,CommonGetEncryptedInfo,,CommonGetEncryptedInfo,,,已发送/case空,input=源码发送无 payload; API state 未写入 payload; output=case 空，未读取 payload；无 callback。,device,info,device.info,method,device.getInfo,,docs/protocol/device/device.info.md,capability has docs/protocol draft (docs/protocol/device/device.info.md); method/event is taxonomy/spec candidate,high,设备基础信息归 device.info。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,62,command,CommonGetGyroSlopeAngle,0xC002A / 0x002A -> 0x00AA,CommonGetGyroSlopeAngle,,CommonGetGyroSlopeAngle,,,仅响应/已解析,"input=源码未找到发送封装; 通常无 payload; output=读取 result(1/2/4B: len=4 读 BE uint32, len=2 读 BE uint16, len=1 读 uint8) -> EventCallbackDelegateEx::onGetGyroSlopeAngle(result)。",sensor,motion,sensor.motion,method,sensor.getMotionState,,,Naming and Taxonomy spec candidate; docs/protocol document not created yet,medium,陀螺仪/倾角属于传感器状态，候选为 sensor.motion。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,63,command,CommonSetUacState,0xC002B / 0x002B -> 0x00AB,CommonSetUacState,,CommonSetUacState,,,已发送/case空,input=uint32 BE EnableState; output=case 空，未读取 payload；无 callback。,audio,uac,audio.uac,method,audio.setUacConfig,,docs/protocol/audio/audio.uac.md,matched docs/protocol (docs/protocol/audio/audio.uac.md),high,UAC 开关和状态归 audio.uac。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,64,command,CommonGetUacState,0xC002C / 0x002C -> 0x00AC,CommonGetUacState,,CommonGetUacState,,,已发送/已解析,"input=无 payload; output=读取 result(1/2/4B: len=4 读 BE uint32, len=2 读 BE uint16, len=1 读 uint8) -> onGetUacState(EnableState(result))。",audio,uac,audio.uac,method,audio.getUacState,,docs/protocol/audio/audio.uac.md,capability has docs/protocol draft (docs/protocol/audio/audio.uac.md); method/event is taxonomy/spec candidate,high,UAC 开关和状态归 audio.uac。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,65,command,CommonTestAudioConsistency,0xC002D / 0x002D -> 0x00AD,CommonTestAudioConsistency,,CommonTestAudioConsistency,,,已发送/case空,input=uint32 BE TestTaskCommand; output=case 空，未读取 payload；无 callback。,diagnostic,audioTest,diagnostic.audioTest,method,diagnostic.runAudioTest,,docs/protocol/diagnostic/diagnostic.audioTest.md,capability has docs/protocol draft (docs/protocol/diagnostic/diagnostic.audioTest.md); method/event is taxonomy/spec candidate,high,音频产测归 diagnostic.audioTest。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,66,command,CommonTestNetworkPort,0xC002E / 0x002E -> 0x00AE,CommonTestNetworkPort,,CommonTestNetworkPort,,,已发送/case空,input=uint32 BE TestTaskCommand; output=case 空，未读取 payload；无 callback。,diagnostic,networkTest,diagnostic.networkTest,method,diagnostic.runNetworkTest,,docs/protocol/diagnostic/diagnostic.networkTest.md,capability has docs/protocol draft (docs/protocol/diagnostic/diagnostic.networkTest.md); method/event is taxonomy/spec candidate,high,网络端口/MAC 产测归 diagnostic.networkTest 或 diagnostic.manufacturing。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,67,command,CommonSetVideoTrackMode,0xC0031 / 0x0031 -> 0x00B1,CommonSetVideoTrackMode,,CommonSetVideoTrackMode,,,已发送/case空,input=uint32 BE VideoTrackMode(0..6); output=case 空，未读取 payload；无 callback。,video,framing,video.framing,method,video.setFramingMode,,docs/protocol/video/video.framing.md,matched docs/protocol (docs/protocol/video/video.framing.md),medium,追踪、构图、人数、帧率和智能画面状态归 video.framing。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,68,command,CommonGetVideoTrackMode,0xC0032 / 0x0032 -> 0x00B2,CommonGetVideoTrackMode,,CommonGetVideoTrackMode,,,已发送/已解析,"input=无 payload; output=读取 result(1/2/4B: len=4 读 BE uint32, len=2 读 BE uint16, len=1 读 uint8) -> onGetVideoTrackMode(VideoTrackMode(result))。",video,framing,video.framing,method,video.getFramingMode,,docs/protocol/video/video.framing.md,matched docs/protocol (docs/protocol/video/video.framing.md),medium,追踪、构图、人数、帧率和智能画面状态归 video.framing。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,69,command,CommonSetMirrorState,0xC0033 / 0x0033 -> 0x00B3,CommonSetMirrorState,,CommonSetMirrorState,,,已发送/case空,input=uint32 BE EnableState; output=case 空，未读取 payload；无 callback。,video,outputTransform,video.outputTransform,method,video.setOutputTransform,,docs/protocol/video/video.outputTransform.md,matched docs/protocol (docs/protocol/video/video.outputTransform.md),high,镜像/翻转等输出变换归 video.outputTransform。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,70,command,CommonGetMirrorState,0xC0034 / 0x0034 -> 0x00B4,CommonGetMirrorState,,CommonGetMirrorState,,,已发送/已解析,"input=无 payload; output=读取 result(1/2/4B: len=4 读 BE uint32, len=2 读 BE uint16, len=1 读 uint8) -> onGetMirrorState(EnableState(result))。",video,outputTransform,video.outputTransform,method,video.getOutputTransform,,docs/protocol/video/video.outputTransform.md,matched docs/protocol (docs/protocol/video/video.outputTransform.md),high,镜像/翻转等输出变换归 video.outputTransform。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,71,command,CommonSetSpeakerTrackDelay,0xC0035 / 0x0035 -> 0x00B5,CommonSetSpeakerTrackDelay,,CommonSetSpeakerTrackDelay,,,已发送/case空,input=uint32 BE delay_seconds; output=case 空，未读取 payload；无 callback。,video,framing,video.framing,method,video.setFramingMode,,docs/protocol/video/video.framing.md,matched docs/protocol (docs/protocol/video/video.framing.md),medium,追踪、构图、人数、帧率和智能画面状态归 video.framing。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,72,command,CommonGetSpeakerTrackDelay,0xC0036 / 0x0036 -> 0x00B6,CommonGetSpeakerTrackDelay,,CommonGetSpeakerTrackDelay,,,已发送/已解析,"input=无 payload; output=读取 result(1/2/4B: len=4 读 BE uint32, len=2 读 BE uint16, len=1 读 uint8) -> onGetSpeakerTrackDelay(result)。",video,framing,video.framing,method,video.getFramingMode,,docs/protocol/video/video.framing.md,matched docs/protocol (docs/protocol/video/video.framing.md),medium,追踪、构图、人数、帧率和智能画面状态归 video.framing。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,73,command,CommonSetSplitScreenNumber,0xC0037 / 0x0037 -> 0x00B7,CommonSetSplitScreenNumber,,CommonSetSplitScreenNumber,,,已发送/case空,input=uint32 BE number; output=case 空，未读取 payload；无 callback。,video,layout,video.layout,method,video.setLayoutConfig,,docs/protocol/video/video.layout.md,matched docs/protocol (docs/protocol/video/video.layout.md),medium,画中画、拼接和视频布局归 video.layout。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,74,command,CommonGetSplitScreenNumber,0xC0038 / 0x0038 -> 0x00B8,CommonGetSplitScreenNumber,,CommonGetSplitScreenNumber,,,已发送/已解析,"input=无 payload; output=读取 result(1/2/4B: len=4 读 BE uint32, len=2 读 BE uint16, len=1 读 uint8) -> onGetSplitScreenNumber(result)。",video,layout,video.layout,method,video.getLayoutConfig,,docs/protocol/video/video.layout.md,matched docs/protocol (docs/protocol/video/video.layout.md),medium,画中画、拼接和视频布局归 video.layout。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,75,command,CommonSetUsbName,0xC0039 / 0x0039 -> 0x00B9,CommonSetUsbName,,CommonSetUsbName,,,仅响应/case空,input=源码未找到发送封装; payload 未明确; output=case 空，未读取 payload；无 callback。,input,hid,input.hid,method,input.setHidConfig,,docs/protocol/input/input.hid.md,matched docs/protocol (docs/protocol/input/input.hid.md),medium,HID/USB 控制和报告归 input.hid。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,76,command,CommonGetUsbName,0xC003A / 0x003A -> 0x00BA,CommonGetUsbName,,CommonGetUsbName,,,仅响应/case空,input=源码未找到发送封装; 通常无 payload; output=case 空，未读取 payload；无 callback。,input,hid,input.hid,method,input.getHidConfig,,docs/protocol/input/input.hid.md,matched docs/protocol (docs/protocol/input/input.hid.md),medium,HID/USB 控制和报告归 input.hid。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,77,command,CommonSetUsbPid,0xC003B / 0x003B -> 0x00BB,CommonSetUsbPid,,CommonSetUsbPid,,,仅响应/case空,input=源码未找到发送封装; payload 未明确; output=case 空，未读取 payload；无 callback。,input,hid,input.hid,method,input.setHidConfig,,docs/protocol/input/input.hid.md,matched docs/protocol (docs/protocol/input/input.hid.md),medium,HID/USB 控制和报告归 input.hid。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,78,command,CommonGetUsbPid,0xC003C / 0x003C -> 0x00BC,CommonGetUsbPid,,CommonGetUsbPid,,,仅响应/case空,input=源码未找到发送封装; 通常无 payload; output=case 空，未读取 payload；无 callback。,input,hid,input.hid,method,input.getHidConfig,,docs/protocol/input/input.hid.md,matched docs/protocol (docs/protocol/input/input.hid.md),medium,HID/USB 控制和报告归 input.hid。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,79,command,CommonSetUsbVid,0xC003D / 0x003D -> 0x00BD,CommonSetUsbVid,,CommonSetUsbVid,,,仅响应/case空,input=源码未找到发送封装; payload 未明确; output=case 空，未读取 payload；无 callback。,input,hid,input.hid,method,input.setHidConfig,,docs/protocol/input/input.hid.md,matched docs/protocol (docs/protocol/input/input.hid.md),medium,HID/USB 控制和报告归 input.hid。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,80,command,CommonGetUsbVid,0xC003E / 0x003E -> 0x00BE,CommonGetUsbVid,,CommonGetUsbVid,,,仅响应/case空,input=源码未找到发送封装; 通常无 payload; output=case 空，未读取 payload；无 callback。,input,hid,input.hid,method,input.getHidConfig,,docs/protocol/input/input.hid.md,matched docs/protocol (docs/protocol/input/input.hid.md),medium,HID/USB 控制和报告归 input.hid。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,81,command,CommonSetReboot,0xC003F / 0x003F -> 0x00BF,CommonSetReboot,,CommonSetReboot,,,已发送/解析未回调,"input=无 payload; output=读取 result(1/2/4B: len=4 读 BE uint32, len=2 读 BE uint16, len=1 读 uint8)，但 onRebootDevice 注释掉；注释说明很多设备无回传。",system,lifecycle,system.lifecycle,method,system.reboot,,docs/protocol/system/system.lifecycle.md,capability has docs/protocol draft (docs/protocol/system/system.lifecycle.md); method/event is taxonomy/spec candidate,high,重启/关机/生命周期策略归 system.lifecycle。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,82,command,CommonSetPowerLineFreq,0xC0040 / 0x0040 -> 0x00C0,CommonSetPowerLineFreq,,CommonSetPowerLineFreq,,,已发送/case空,"input=uint8 PowerlineFreqType(1=50Hz,2=60Hz); output=case 空，未读取 payload；无 callback。",camera,exposure,camera.exposure,method,camera.setExposureConfig,,docs/protocol/camera/camera.exposure.md,matched docs/protocol (docs/protocol/camera/camera.exposure.md),high,曝光、快门、WDR、补偿和工频归 camera.exposure。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,83,command,CommonGetPowerLineFreq,0xC0041 / 0x0041 -> 0x00C1,CommonGetPowerLineFreq,,CommonGetPowerLineFreq,,,已发送/已解析,"input=无 payload; output=读取 result(1/2/4B: len=4 读 BE uint32, len=2 读 BE uint16, len=1 读 uint8) -> onGetPowerLineFreq(PowerlineFreqType(result))。",camera,exposure,camera.exposure,method,camera.getExposureConfig,,docs/protocol/camera/camera.exposure.md,matched docs/protocol (docs/protocol/camera/camera.exposure.md),high,曝光、快门、WDR、补偿和工频归 camera.exposure。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,84,command,CommonGetDeviceUniqueId,0xC0042 / 0x0042 -> 0x00C2,CommonGetDeviceUniqueId,,CommonGetDeviceUniqueId,,,仅响应/case空,input=源码未找到发送封装; 通常无 payload; output=case 空，未读取 payload；无 callback。,device,identity,device.identity,method,device.getIdentity,,docs/protocol/device/device.identity.md,capability has docs/protocol draft (docs/protocol/device/device.identity.md); method/event is taxonomy/spec candidate,high,设备型号、SN、UID、HWID 等归 device.identity。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,85,command,CommonSetDeviceUniqueId,0xC0043 / 0x0043 -> 0x00C3,CommonSetDeviceUniqueId,,CommonSetDeviceUniqueId,,,仅响应/case空,input=源码未找到发送封装; payload 未明确; output=case 空，未读取 payload；无 callback。,device,identity,device.identity,method,device.setIdentityConfig,,docs/protocol/device/device.identity.md,matched docs/protocol (docs/protocol/device/device.identity.md),high,设备型号、SN、UID、HWID 等归 device.identity。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,86,command,CommonGetAlgAuthContent,0xC0044 / 0x0044 -> 0x00C4,CommonGetAlgAuthContent,,CommonGetAlgAuthContent,,,仅响应/case空,input=源码未实现发送; 语义为获取算法授权内容; output=case 空，未读取 payload；无 callback。,audio,algorithm,audio.algorithm,method,audio.getAlgorithmConfig,,docs/protocol/audio/audio.algorithm.md,matched docs/protocol (docs/protocol/audio/audio.algorithm.md),medium,音频算法、波束、DOA、降噪/回声/混响抑制归 audio.algorithm。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,87,command,CommonSetAlgAuthContent,0xC0045 / 0x0045 -> 0x00C5,CommonSetAlgAuthContent,,CommonSetAlgAuthContent,,,已发送/case空,input=语义为 auth_content bytes; 源码实际传 &auth_content 指针地址(疑似 bug); output=case 空，未读取 payload；无 callback。,audio,algorithm,audio.algorithm,method,audio.setAlgorithmConfig,,docs/protocol/audio/audio.algorithm.md,matched docs/protocol (docs/protocol/audio/audio.algorithm.md),medium,音频算法、波束、DOA、降噪/回声/混响抑制归 audio.algorithm。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,88,command,CommonSetWdrState,0xC0046 / 0x0046 -> 0x00C6,CommonSetWdrState,,CommonSetWdrState,,,已发送/case空,input=uint32 BE EnableState; output=case 空，未读取 payload；无 callback。,camera,exposure,camera.exposure,method,camera.setExposureConfig,,docs/protocol/camera/camera.exposure.md,matched docs/protocol (docs/protocol/camera/camera.exposure.md),high,曝光、快门、WDR、补偿和工频归 camera.exposure。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,89,command,CommonGetWdrState,0xC0047 / 0x0047 -> 0x00C7,CommonGetWdrState,,CommonGetWdrState,,,已发送/已解析,"input=无 payload; output=读取 result(1/2/4B: len=4 读 BE uint32, len=2 读 BE uint16, len=1 读 uint8) -> onGetWdrState(EnableState(result))。",camera,exposure,camera.exposure,method,camera.getExposureConfig,,docs/protocol/camera/camera.exposure.md,matched docs/protocol (docs/protocol/camera/camera.exposure.md),high,曝光、快门、WDR、补偿和工频归 camera.exposure。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,90,command,CommonSetOsdMirrorState,0xC0048 / 0x0048 -> 0x00C8,CommonSetOsdMirrorState,,CommonSetOsdMirrorState,,,已发送/case空,input=uint32 BE EnableState; output=case 空，未读取 payload；无 callback。,video,osd,video.osd,method,video.setOsdConfig,,docs/protocol/video/video.osd.md,matched docs/protocol (docs/protocol/video/video.osd.md),high,OSD/水印/叠加显示归 video.osd。,
